#,After Over Runs,Ball Number,Batsman Changed,Batsman Score,Deliveries Faced,Boundries,Extra Type,Innings,Is Free Hit,Runs Conceded,Outcome of Delivery,OutcomeCategory,Over Number,Partnership,Partnership Deliveries,PartnershipStage,Partneship Runs,Power Play,Previous Over Runs,Stage,Runs in the over,Wicket in the Same Over,Wickets,Gendar,Type,Outcome of Delivery - PLS,Batsman - Boundries - Cat,Batsman - Deliveries Faced - Cat,Batsman - Score - CAT,Batsman - Strike Rate,Batsman Strike Rate - Cat,Bolwer - Runs Conceded- Cat,Bowler - Economy,Bowler - Economy - Cat,Bowler - Wickets-Cat,Bowler Overs,Partnership Deliveries - Cat,Partnership Runs - Cat,Partnership Strike Rate,Partnership Strike Rate - Cat,Previous Over Runs - Cat,Runs in the Over - Cat
11,12,6,"",10,8,1,Wide,1,"",30,4,High Impact,17,5,10,Tailend,13,No,5,EndOvers,9,No,0,Male,Franchaise,4,Low,Low,Low,125,Medium,Medium,10,Medium,No Wickets,3,Low,Low,130,Medium,Low,Medium
12,14,3,"",11,6,1,Wide,1,"",40,1,Less Impact,18,5,16,Tailend,32,No,13,EndOvers,11,No,0,Male,Franchaise,1,Low,Low,Low,183.3333333,High,High,10,Medium,No Wickets,4,Low,Low,200,High,High,High
13,,4,"",4,3,1,Wide,1,"",40,W,Negative,20,5,8,Tailend,9,No,14,EndOvers,6,No,0,Male,Franchaise,-1,Low,Low,Low,133.3333333,Medium,High,10,Medium,No Wickets,4,Low,Low,112.5,Medium,High,Low
14,13,6,"",59,21,8,Wide,1,"",25,0,No Impact,11,3,56,Frontline,87,No,8,MiddleOvers,13,No,0,Male,Franchaise,0,High,Medium,High,280.952381,High,Medium,12.5,High,No Wickets,2,High,High,155.3571429,Medium,Medium,High
15,,2,"",15,10,1,Wide,1,"",28,1,Less Impact,20,6,1,Tailend,1,No,16,EndOvers,7,Yes,1,Male,Franchaise,1,Low,Low,Low,150,Medium,Medium,9.333333333,Medium,Low,3,Low,Low,100,Low,High,Medium
16,17,3,"",3,2,0,No,2,"",6,0,No Impact,1,2,4,Frontline,5,Yes,,PowerPlay,6,Yes,1,Male,Franchaise,0,Low,Low,Low,150,Medium,Low,6,Low,Low,1,Low,Low,125,Medium,,Low
17,11,1,"",18,9,3,No,2,"",17,0,No Impact,2,2,5,Frontline,6,Yes,6,PowerPlay,17,No,0,Male,Franchaise,0,Medium,Low,Low,200,High,Medium,17,High,No Wickets,1,Low,Low,120,Medium,Low,High
18,6,1,"",4,4,0,Wide,2,"",13,4,High Impact,3,2,15,Frontline,29,Yes,17,PowerPlay,7,No,1,Male,Franchaise,4,Low,Low,Low,100,Low,Medium,6.5,Medium,Low,2,Low,Low,193.3333333,High,High,Medium
19,8,6,Yes,48,32,5,No,2,Yes,38,4,High Impact,18,5,70,Tailend,125,No,11,EndOvers,14,No,1,Male,Franchaise,4,Medium,Medium,Middle,150,Medium,High,9.5,Medium,Low,4,High,High,178.5714286,High,High,High
20,13,6,No,6,4,1,No,2,Yes,34,0,No Impact,19,6,3,Tailend,7,No,18,EndOvers,8,Yes,2,Male,Franchaise,0,Low,Low,Low,150,Medium,High,8.5,Medium,Low,4,Low,Low,233.3333333,High,High,Medium
21,,4,No,74,46,10,No,2,No,41,6,High Impact,20,6,9,Tailend,14,No,8,EndOvers,20,No,0,Male,Franchaise,6,High,High,High,160.8695652,Medium,High,10.25,High,No Wickets,4,Low,Low,155.5555556,Medium,Medium,High
22,1,2,"",1,3,0,Wide,1,"",3,1,Less Impact,5,3,4,Frontline,3,Yes,10,PowerPlay,3,Yes,1,Male,Franchaise,1,Low,Low,Low,33.33333333,Low,Low,3,Low,Low,1,Low,Low,75,Low,Medium,Low
23,8,1,"",8,12,1,Wide,1,"",4,0,No Impact,10,6,14,Tailend,6,No,2,MiddleOvers,4,No,0,Male,Franchaise,0,Low,Medium,Low,66.66666667,Low,Low,4,Low,No Wickets,1,Low,Low,42.85714286,Low,Low,Low
24,6,6,"",10,14,1,Wide,1,"",11,0,No Impact,11,6,20,Tailend,14,No,4,MiddleOvers,8,No,1,Male,Franchaise,0,Low,Medium,Low,71.42857143,Low,Medium,5.5,Low,Low,2,Low,Low,70,Low,Low,Medium
25,6,1,"",7,9,1,Wide,1,"",11,1,Less Impact,15,9,13,MiddleOrder,11,No,3,EndOvers,4,No,5,Male,Franchaise,1,Low,Low,Low,77.77777778,Low,Medium,2.75,Low,Middle,4,Low,Low,84.61538462,Low,Low,Low
26,8,3,"",1,3,0,Wide,1,"",29,1,Less Impact,12,3,9,Frontline,14,No,3,MiddleOvers,12,No,0,Male,Franchaise,1,Low,Low,Low,33.33333333,Low,Medium,9.66666667,Medium,No Wickets,3,Low,Low,155.5555556,Medium,Low,High
27,10,3,"",53,40,8,Wide,1,"",16,0,No Impact,13,3,15,Frontline,23,No,13,MiddleOvers,8,No,1,Male,Franchaise,0,High,Medium,High,132.5,Medium,Medium,5.333333333,Low,Low,3,Low,Low,153.3333333,Medium,High,Medium
28,13,6,"",4,5,0,Wide,1,"",23,1,Less Impact,17,6,6,Tailend,6,No,5,EndOvers,5,No,1,Male,Franchaise,1,Low,Low,Low,80,Low,Medium,7.666666667,Medium,Low,3,Low,Low,100,Low,Low,Low
29,,3,"",10,4,2,Wide,1,"",24,2,Medium Impact,20,8,2,MiddleOrder,5,No,18,EndOvers,8,Yes,2,Male,Franchaise,2,Medium,Low,Low,250,High,Medium,6,Low,Low,4,Low,Low,250,High,High,Medium
30,14,1,"",5,10,1,Wide,2,"",8,4,High Impact,4,2,14,Frontline,9,Yes,5,PowerPlay,4,No,1,Male,Franchaise,4,Low,Low,Low,50,Low,Low,4,Low,Low,2,Low,Low,64.28571429,Low,Low,Low
31,15,4,"",18,8,4,Wide,2,"",10,0,No Impact,6,3,10,Frontline,24,Yes,14,PowerPlay,10,No,1,Male,Franchaise,0,Medium,Low,Low,225,High,Low,10,Medium,Low,1,Low,Low,240,High,High,Medium
32,10,1,"",1,2,0,Wide,1,"",2,2,Medium Impact,1,1,5,Frontline,3,Yes,,PowerPlay,3,No,0,Male,Franchaise,2,Low,Low,Low,50,Low,Low,2,Low,No Wickets,1,Low,Low,60,Low,,Low
33,4,6,No,13,10,2,No,1,Yes,20,6,High Impact,4,1,23,Frontline,30,Yes,5,PowerPlay,10,No,0,Male,Franchaise,6,Medium,Low,Low,130,Medium,Medium,10,Medium,No Wickets,2,Low,Low,130.4347826,Medium,Low,Medium
34,3,3,"",17,20,2,Wide,1,"",11,2,Medium Impact,6,1,35,Frontline,48,Yes,4,PowerPlay,8,No,0,Male,Franchaise,2,Medium,Medium,Low,85,Low,Medium,5.5,Low,No Wickets,2,Medium,Medium,137.1428571,Medium,Low,Medium
35,11,6,"",1,2,0,Wide,1,"",4,4,High Impact,8,2,3,Frontline,3,No,3,MiddleOvers,4,Yes,1,Male,Franchaise,4,Low,Low,Low,50,Low,Low,4,Low,Low,1,Low,Low,100,Low,Low,Low
36,12,1,"",4,4,0,Wide,1,"",33,1,Less Impact,16,3,16,Frontline,37,No,13,EndOvers,13,No,1,Male,Franchaise,1,Low,Low,Low,100,Low,High,11,High,Low,3,Low,Low,231.25,High,High,High
37,6,1,"",0,1,0,No,2,"",19,0,No Impact,9,3,2,Frontline,1,No,3,MiddleOvers,8,Yes,1,Male,Franchaise,0,Low,Low,Low,0,Low,Medium,9.5,Medium,Low,2,Low,Low,50,Low,Low,Medium
38,7,2,"",0,1,0,Wide,2,"",33,0,No Impact,18,9,1,MiddleOrder,0,No,4,EndOvers,7,Yes,2,Male,Franchaise,0,Low,Low,Low,0,Low,High,11,High,Low,3,Low,Low,0,Low,Low,Medium
39,5,2,"",8,6,2,No,1,"",8,0,No Impact,2,3,6,Frontline,9,Yes,0,PowerPlay,9,No,0,Male,Franchaise,0,Medium,Low,Low,133.3333333,Medium,Low,8,Medium,No Wickets,1,Low,Low,150,Medium,Low,Medium
40,6,2,"",21,18,2,Wide,1,"",22,4,High Impact,12,5,34,Tailend,44,No,9,MiddleOvers,7,No,1,Male,Franchaise,4,Medium,Medium,Middle,116.6666667,Medium,Medium,7.333333333,Medium,Low,3,Medium,Medium,129.4117647,Medium,Medium,Medium
41,30,6,"",77,56,10,Wide,1,"",22,1,Less Impact,18,6,18,Tailend,33,No,11,EndOvers,11,No,1,Male,Franchaise,1,High,High,High,137.5,Medium,Medium,5.5,Low,Low,4,Low,Low,183.3333333,High,High,High
42,,5,"",117,66,17,No,1,"",37,W,Negative,20,7,5,MiddleOrder,11,No,30,EndOvers,11,Yes,2,Male,Franchaise,-1,High,High,High,177.2727273,High,High,9.25,Medium,Low,4,Low,Low,220,High,High,High
43,11,1,"",0,2,0,Wide,2,"",1,4,High Impact,2,2,1,Frontline,0,Yes,9,PowerPlay,1,Yes,1,Male,Franchaise,4,Low,Low,Low,0,Low,Low,1,Low,Low,1,Low,Low,0,Low,Medium,Low
44,4,6,"",4,2,1,Wide,2,"",11,0,No Impact,4,3,5,Frontline,10,Yes,11,PowerPlay,10,No,1,Male,Franchaise,0,Low,Low,Low,200,High,Medium,5.5,Low,Low,2,Low,Low,200,High,High,Medium
45,11,5,"",14,16,2,Wide,2,"",20,0,No Impact,9,4,27,Tailend,23,No,4,MiddleOvers,5,No,1,Male,Franchaise,0,Medium,Medium,Low,87.5,Low,Medium,6.666666667,Medium,Low,3,Low,Low,85.18518519,Low,Low,Low
46,9,4,"",5,7,0,Wide,2,"",16,6,High Impact,14,6,17,Tailend,14,No,7,MiddleOvers,3,No,2,Male,Franchaise,6,Low,Low,Low,71.42857143,Low,Medium,5.333333333,Low,Low,3,Low,Low,82.35294118,Low,Medium,Low
47,7,1,"",27,18,3,Wide,2,"",28,1,Less Impact,18,6,41,Tailend,61,No,16,EndOvers,5,No,1,Male,Franchaise,1,Medium,Medium,Middle,150,Medium,Medium,7,Medium,Low,4,Medium,Medium,148.7804878,Medium,High,Low
48,9,4,"",8,8,1,Wide,1,"",10,1,Less Impact,3,2,12,Frontline,14,No,4,PowerPlay,10,No,0,Male,Franchaise,1,Low,Low,Low,100,Low,Low,10,Medium,No Wickets,1,Low,Low,116.6666667,Medium,Low,Medium
49,4,5,"",40,26,6,Wide,1,"",8,1,Less Impact,8,2,42,Frontline,70,No,15,MiddleOvers,8,No,0,Male,Franchaise,1,High,Medium,Middle,153.8461538,Medium,Low,8,Medium,No Wickets,1,Medium,Medium,166.6666667,Medium,High,Medium
50,4,3,"",44,31,6,Wide,1,"",19,1,Less Impact,10,2,54,Frontline,84,No,3,MiddleOvers,8,No,0,Male,Franchaise,1,High,Medium,Middle,141.9354839,Medium,Medium,9.5,Medium,No Wickets,2,High,High,155.5555556,Medium,Low,Medium
51,3,4,"",46,33,6,Wide,1,"",20,1,Less Impact,11,2,60,Frontline,88,No,9,MiddleOvers,3,No,0,Male,Franchaise,1,High,Medium,Middle,139.3939394,Medium,Medium,5,Low,No Wickets,4,High,High,146.6666667,Medium,Medium,Low
52,15,6,"",29,13,4,Wide,1,"",21,4,High Impact,16,4,20,Tailend,29,No,24,EndOvers,10,No,1,Male,Franchaise,4,Medium,Medium,Middle,223.0769231,High,Medium,7,Medium,Low,3,Low,Low,145,Medium,High,Medium
53,13,5,"",35,15,5,Wide,1,"",24,1,Less Impact,17,4,26,Tailend,47,No,14,EndOvers,14,No,1,Male,Franchaise,1,Medium,Medium,Middle,233.3333333,High,Medium,8,Medium,Low,3,Low,Medium,180.7692308,High,High,High
54,3,6,"",29,21,3,Wide,2,"",7,2,Medium Impact,10,3,35,Frontline,53,No,13,MiddleOvers,7,No,0,Male,Franchaise,2,Medium,Medium,Middle,138.0952381,Medium,Low,7,Medium,No Wickets,1,Medium,Medium,151.4285714,Medium,High,Medium
55,8,6,"",8,7,1,Wide,1,"",8,0,No Impact,2,1,11,Frontline,17,Yes,9,PowerPlay,8,No,0,Male,Franchaise,0,Low,Low,Low,114.2857143,Medium,Low,8,Medium,No Wickets,1,Low,Low,154.5454545,Medium,Medium,Medium
56,15,5,"",14,13,2,No,1,"",16,0,No Impact,4,1,23,Frontline,34,Yes,8,PowerPlay,9,No,0,Male,Franchaise,0,Medium,Medium,Low,107.6923077,Medium,Medium,8,Medium,No Wickets,2,Low,Low,147.826087,Medium,Medium,Medium
57,5,2,"",7,3,1,Wide,1,"",29,0,No Impact,12,3,4,Frontline,13,No,11,MiddleOvers,13,Yes,1,Male,Franchaise,0,Low,Low,Low,233.3333333,High,Medium,9.66666667,Medium,Low,3,Low,Low,325,High,High,High
58,3,3,"",1,1,0,Wide,1,"",23,0,No Impact,14,5,3,Tailend,3,No,5,MiddleOvers,7,Yes,1,Male,Franchaise,0,Low,Low,Low,100,Low,Medium,7.666666667,Medium,Low,3,Low,Low,100,Low,Low,Medium
59,9,4,"",20,17,3,Wide,1,"",35,1,Less Impact,19,5,33,Tailend,51,No,16,EndOvers,8,No,1,Male,Franchaise,1,Medium,Medium,Low,117.6470588,Medium,High,8.75,Medium,Low,4,Medium,Medium,154.5454545,Medium,High,Medium
60,3,6,"",28,20,4,Wide,2,"",11,0,No Impact,6,3,2,Frontline,2,Yes,5,PowerPlay,2,Yes,1,Male,Franchaise,0,Medium,Medium,Middle,140,Medium,Medium,5.5,Low,Low,2,Low,Low,100,Low,Low,Low
61,12,1,"",9,8,1,Wide,2,"",18,W,Negative,16,6,12,Tailend,16,No,6,EndOvers,9,No,1,Male,Franchaise,-1,Low,Low,Low,112.5,Medium,Medium,6,Low,Low,3,Low,Low,133.3333333,Medium,Low,Medium
62,11,1,"",2,7,0,Wide,1,"",7,0,No Impact,3,1,17,Frontline,8,Yes,1,PowerPlay,7,No,0,Male,Franchaise,0,Low,Low,Low,28.57142857,Low,Low,3.5,Low,No Wickets,2,Low,Low,47.05882353,Low,Low,Medium
63,2,1,"",10,12,2,Wide,1,"",7,1,Less Impact,5,1,23,Frontline,25,Yes,11,PowerPlay,7,No,0,Male,Franchaise,1,Medium,Medium,Low,83.33333333,Low,Low,3.5,Low,No Wickets,2,Low,Low,108.6956522,Medium,High,Medium
64,6,6,"",14,22,2,Wide,1,"",3,W,Negative,7,2,3,Frontline,5,No,2,MiddleOvers,2,No,0,Male,Franchaise,-1,Medium,Medium,Low,63.63636364,Low,Low,3,Low,No Wickets,1,Low,Low,166.6666667,Medium,Low,Low
65,14,2,"",39,28,5,Wide,1,"",18,0,No Impact,16,4,44,Tailend,61,No,14,EndOvers,10,No,0,Male,Franchaise,0,Medium,Medium,Middle,139.2857143,Medium,Medium,6,Low,No Wickets,3,Medium,Medium,138.6363636,Medium,High,Medium
66,11,1,"",10,5,2,Wide,1,"",24,4,High Impact,18,5,6,Tailend,15,No,14,EndOvers,11,No,1,Male,Franchaise,4,Medium,Low,Low,200,High,Medium,6,Low,Low,4,Low,Low,250,High,High,High
67,,5,"",21,11,4,Wide,1,"",33,4,High Impact,20,5,18,Tailend,42,No,11,EndOvers,12,No,1,Male,Franchaise,4,Medium,Medium,Middle,190.9090909,High,High,8.25,Medium,Low,4,Low,Medium,233.3333333,High,High,High
68,17,1,"",1,2,0,Wide,2,"",8,0,No Impact,1,1,5,Frontline,8,Yes,,PowerPlay,12,No,0,Male,Franchaise,0,Low,Low,Low,50,Low,Low,8,Medium,No Wickets,1,Low,Low,160,Medium,,High
69,4,5,"",21,14,3,Wide,2,"",39,0,No Impact,10,5,15,Tailend,26,No,7,MiddleOvers,7,No,1,Male,Franchaise,0,Medium,Medium,Middle,150,Medium,High,13,High,Low,3,Low,Low,173.3333333,Medium,Medium,Medium
70,4,1,"",19,12,3,Wide,2,"",14,1,Less Impact,12,5,21,Tailend,41,No,4,MiddleOvers,14,No,0,Male,Franchaise,1,Medium,Medium,Low,158.3333333,Medium,Medium,14,High,No Wickets,1,Low,Medium,195.2380952,High,Low,High
71,,1,"",14,14,1,Wide,2,"",26,1,Less Impact,18,7,13,MiddleOrder,13,No,0,EndOvers,11,No,0,Male,Franchaise,1,Low,Medium,Low,100,Low,Medium,13,High,No Wickets,2,Low,Low,100,Low,Low,High
72,3,5,"",1,6,0,Wide,1,"",12,0,No Impact,2,1,11,Frontline,14,Yes,2,PowerPlay,12,No,0,Female,Franchaise,0,Low,Low,Low,16.66666667,Low,Medium,12,High,No Wickets,1,Low,Low,127.2727273,Medium,Low,High
73,11,6,"",65,29,14,Wide,1,"",28,W,Negative,17,4,41,Tailend,87,No,14,EndOvers,7,No,0,Female,Franchaise,-1,High,Medium,High,224.137931,High,Medium,9.333333333,Medium,No Wickets,3,Medium,High,212.195122,High,High,Medium
74,4,1,"",0,3,0,Wide,2,"",2,1,Less Impact,2,3,3,Frontline,0,Yes,1,PowerPlay,2,Yes,1,Female,Franchaise,1,Low,Low,Low,0,Low,Low,2,Low,Low,1,Low,Low,0,Low,Low,Low
75,5,4,"",23,15,3,Wide,2,"",9,0,No Impact,11,8,19,MiddleOrder,21,"",12,MiddleOvers,8,No,0,Female,Franchaise,0,Medium,Medium,Middle,153.3333333,Medium,Low,4.5,Low,No Wickets,2,Low,Low,110.5263158,Medium,High,Medium
76,20,2,"",20,16,3,Wide,1,"",7,1,Less Impact,5,1,29,Frontline,36,Yes,7,PowerPlay,7,No,0,Female,Franchaise,1,Medium,Medium,Low,125,Medium,Low,7,Medium,No Wickets,1,Low,Low,124.137931,Medium,Medium,Medium
77,13,2,"",0,0,0,Wide,1,"",23,1,Less Impact,15,3,0,Frontline,0,No,8,EndOvers,10,Yes,2,Female,Franchaise,1,Low,Low,Low,NaN,Low,Medium,11.5,High,Low,2,Low,Low,NaN,Low,Medium,Medium
78,12,5,"",22,16,2,Wide,2,"",35,1,Less Impact,17,8,22,MiddleOrder,41,No,8,EndOvers,5,No,0,Female,Franchaise,1,Medium,Medium,Middle,137.5,Medium,High,8.75,Medium,No Wickets,4,Low,Medium,186.3636364,High,Medium,Low
79,1,3,"",7,8,1,Wide,1,"",7,1,Less Impact,7,3,14,Frontline,13,No,6,MiddleOvers,4,No,1,Female,Franchaise,1,Low,Low,Low,87.5,Low,Low,3.5,Low,Low,2,Low,Low,92.85714286,Low,Low,Low
80,6,3,"",1,1,0,Wide,1,"",18,0,No Impact,11,5,2,Tailend,2,No,9,MiddleOvers,11,Yes,1,Female,Franchaise,0,Low,Low,Low,100,Low,Medium,9,Medium,Low,2,Low,Low,100,Low,Medium,High
81,18,3,"",1,1,0,Wide,1,"",15,0,No Impact,16,6,3,Tailend,3,No,13,EndOvers,7,Yes,2,Female,Franchaise,0,Low,Low,Low,100,Low,Medium,5,Low,Low,3,Low,Low,100,Low,High,Medium
82,7,4,"",1,4,0,Wide,2,"",2,4,High Impact,2,1,11,Frontline,9,Yes,7,PowerPlay,2,No,0,Female,Franchaise,4,Low,Low,Low,25,Low,Low,2,Low,No Wickets,1,Low,Low,81.81818182,Low,Medium,Low
83,9,6,"",3,3,0,Wide,1,"",11,0,No Impact,5,2,2,Frontline,7,Yes,13,PowerPlay,11,Yes,1,Male,Franchaise,0,Low,Low,Low,100,Low,Medium,11,High,Low,1,Low,Low,350,High,High,High
84,13,2,"",7,6,1,No,1,"",20,1,Less Impact,7,3,9,Frontline,12,No,9,MiddleOvers,9,No,1,Male,Franchaise,1,Low,Low,Low,116.6666667,Medium,Medium,10,Medium,Low,2,Low,Low,133.3333333,Medium,Medium,Medium
85,9,2,"",26,14,2,Wide,1,"",45,2,Medium Impact,18,7,9,MiddleOrder,17,No,5,EndOvers,12,No,0,Male,Franchaise,2,Medium,Medium,Middle,185.7142857,High,High,11.25,High,No Wickets,4,Low,Low,188.8888889,High,Low,High
86,5,5,"",0,1,0,Wide,2,"",6,1,Less Impact,1,2,1,Frontline,1,Yes,,PowerPlay,6,Yes,1,Male,Franchaise,1,Low,Low,Low,0,Low,Low,6,Low,Low,1,Low,Low,100,Low,,Low
87,4,2,"",7,6,1,Wide,2,"",3,1,Less Impact,2,2,7,Frontline,5,Yes,7,PowerPlay,3,No,0,Male,Franchaise,1,Low,Low,Low,116.6666667,Medium,Low,3,Low,No Wickets,1,Low,Low,71.42857143,Low,Medium,Low
88,4,6,"",2,4,0,Wide,2,"",6,W,Negative,14,5,7,Tailend,6,No,3,MiddleOvers,6,No,0,Male,Franchaise,-1,Low,Low,Low,50,Low,Low,6,Low,No Wickets,1,Low,Low,85.71428571,Low,Low,Low
89,5,3,"",47,37,7,Wide,2,"",15,1,Less Impact,11,4,47,Tailend,60,No,10,MiddleOvers,10,No,0,Female,Franchaise,1,High,Medium,Middle,127.027027,Medium,Medium,7.5,Medium,No Wickets,2,Medium,Medium,127.6595745,Medium,Medium,Medium
90,5,6,"",12,11,1,Wide,1,"",13,1,Less Impact,5,1,29,Frontline,33,Yes,16,PowerPlay,9,No,0,Male,Franchaise,1,Low,Medium,Low,109.0909091,Medium,Medium,6.5,Medium,No Wickets,2,Low,Low,113.7931034,Medium,High,Medium
91,7,6,"",36,33,3,Wide,1,"",23,1,Less Impact,12,2,9,Frontline,9,No,5,MiddleOvers,5,No,0,Male,Franchaise,1,Medium,Medium,Middle,109.0909091,Medium,Medium,7.666666667,Medium,No Wickets,3,Low,Low,100,Low,Low,Low
92,13,3,"",102,61,13,Wide,1,"",32,0,No Impact,19,2,51,Frontline,96,No,12,EndOvers,18,No,0,Male,Franchaise,0,High,High,High,167.2131148,Medium,High,10.66666667,High,No Wickets,3,High,High,188.2352941,High,High,High
93,14,6,Yes,8,6,1,No,2,Yes,25,1,Less Impact,18,8,13,MiddleOrder,31,No,10,EndOvers,19,No,5,Male,Franchaise,1,Low,Low,Low,133.3333333,Medium,Medium,6.25,Medium,Middle,4,Low,Low,238.4615385,High,Medium,High
94,16,1,"",6,7,0,Wide,2,"",7,0,No Impact,8,2,10,Frontline,14,No,7,MiddleOvers,7,No,0,Male,Franchaise,0,Low,Low,Low,85.71428571,Low,Low,7,Medium,No Wickets,1,Low,Low,140,Medium,Medium,Medium
95,7,3,"",12,16,9,Wide,2,"",14,W,Negative,12,3,12,Frontline,8,No,4,MiddleOvers,4,No,0,Male,Franchaise,-1,High,Medium,Low,75,Low,Medium,4.666666667,Low,No Wickets,3,Low,Low,66.66666667,Low,Low,Low
96,11,5,"",1,2,0,Wide,2,"",29,1,Less Impact,13,4,5,Tailend,6,No,4,MiddleOvers,6,No,1,Male,Franchaise,1,Low,Low,Low,50,Low,Medium,9.66666667,Medium,Low,3,Low,Low,120,Medium,Low,Low
97,9,3,"",52,35,7,Wide,1,"",25,1,Less Impact,13,6,7,Tailend,9,No,7,MiddleOvers,7,No,1,Male,Franchaise,1,High,Medium,High,148.5714286,Medium,Medium,6.25,Medium,Low,4,Low,Low,128.5714286,Medium,Medium,Medium
98,5,5,"",49,23,8,Wide,2,"",23,4,High Impact,6,2,19,Frontline,45,Yes,16,PowerPlay,11,No,0,Male,Franchaise,4,High,Medium,Middle,213.0434783,High,Medium,11.5,High,No Wickets,2,Low,Medium,236.8421053,High,High,High
99,12,4,"",58,29,10,Wide,2,"",8,4,High Impact,8,2,31,Frontline,62,No,5,MiddleOvers,8,No,0,Male,Franchaise,4,High,Medium,High,200,High,Low,8,Medium,No Wickets,1,Medium,Medium,200,High,Low,Medium
100,17,6,"",36,21,6,Wide,2,"",20,1,Less Impact,11,4,4,Tailend,4,No,3,MiddleOvers,4,Yes,1,Male,Franchaise,1,High,Medium,Middle,171.4285714,Medium,Medium,10,Medium,Low,2,Low,Low,100,Low,Low,Low
101,15,4,"",21,10,3,Wide,2,"",15,1,Less Impact,14,5,5,Tailend,3,No,6,MiddleOvers,3,No,0,Male,Franchaise,1,Medium,Low,Middle,210,High,Medium,7.5,Medium,No Wickets,2,Low,Low,60,Low,Low,Low
102,5,4,"",12,6,3,Wide,1,"",9,6,High Impact,3,2,6,Frontline,9,Yes,6,PowerPlay,9,No,0,Male,Franchaise,6,Medium,Low,Low,200,High,Low,9,Medium,No Wickets,1,Low,Low,150,Medium,Low,Medium
103,19,2,"",47,27,8,Wide,1,"",22,0,No Impact,15,5,30,Tailend,71,No,13,EndOvers,12,No,0,Male,Franchaise,0,High,Medium,Middle,174.0740741,Medium,Medium,7.333333333,Medium,No Wickets,3,Low,Medium,236.6666667,High,High,High
104,10,6,"",58,31,10,Wide,1,"",27,6,High Impact,17,5,42,Tailend,106,No,19,EndOvers,16,No,2,Male,Franchaise,6,High,Medium,High,187.0967742,High,Medium,9,Medium,Low,3,Medium,High,252.3809524,High,High,High
